FID,OBJECTID,Match_addr,Side,X,Y,Disp_Lon,Disp_Lat,Street_ID,Addr_type,User_fld,ARC_Addres,ARC_City,ARC_State,ARC_Zip,Garden,Address,City_1,State_1,Zip_1,Website,Email,Phone
0,1,"4843 Aspen St, Philadelphia, PA, 19139",L,-75.217305,39.965175,0,0,18716103,StreetAddress,0,4843 Aspen St,Philadelphia,PA,19139,Aspen Farms,4843 Aspen St,Philadelphia,PA,19139, http://philadelphialandtrust.org,janicetrap@aol.com, 
1,2,"1348 S Bouvier St, Philadelphia, PA, 19146",L,-75.173636,39.933929,-75.173751,39.93395,64951175,Address, ,1348 S Bouvier St,Philadelphia,PA,19146,The Point Breeze Gardens,1348 S Bouvier St,Philadelphia,PA,19146,http://www.newboldneighbors.org/newbold/bouvier-community-garden, , 
2,3,"4713 Chester Ave, Philadelphia, PA, 19143",L,-75.214579,39.945564,-75.214861,39.94587,62685878,Address, ,4713 Chester Ave,Philadelphia,PA,19143,Chester Avenue Community Garden,4713 Chester Ave,Philadelphia,PA,19143, http://philadelphialandtrust.org,chibba@verizon.net,215-747-6204
3,4,"311 Christian St, Philadelphia, PA, 19147",R,-75.149315,39.936687,-75.149251,39.93696,63804495,Address, ,311 Christian St,Philadelphia,PA,19147,Southwark Queen Village,311 Christian St,Philadelphia,PA,19147,http://www.swqvgarden.org,info@swqvgarden.org, 
4,5,"238 E Church Ln, Philadelphia, PA, 19144",R,-75.169218,40.036422,0,0,18698869,StreetAddress,0,238 Church Ln,Philadelphia,PA,19144,Church Lane Community Garden,238 Church Ln,Philadelphia,PA,19144, http://philadelphialandtrust.org, ,215-844-7076
5,6,"2058 Ellsworth St, Philadelphia, PA, 19146",L,-75.177656,39.938124,0,0,18721654,StreetAddress,0,2058 Ellsworth St,Philadelphia,PA,19146,Concert Garden-PNB; The Point Breeze Gardens,2058 Ellsworth St,Philadelphia,PA,19146, http://philadelphialandtrust.org, , 
6,7,"2125 Federal St, Philadelphia, PA, 19146",R,-75.179368,39.937727,-75.179341,39.93785,62754937,Address, ,2125 Federal St,Philadelphia,PA,19146,The Point Breeze Gardens,2125 Federal St,Philadelphia,PA,19146, http://philadelphialandtrust.org, , 
7,8,"1801 W Glenwood Ave, Philadelphia, PA, 19132",L,-75.161183,39.994199,0,0,18709836,StreetAddress,0,1801 W Glenwood Ave,Philadelphia,PA,19132,Glenwood Green Acres,1801 W Glenwood Ave,Philadelphia,PA,19132, http://philadelphialandtrust.org,dahlmbaby@yahoo.com, 
8,9,"918 N Leithgow St, Philadelphia, PA, 19123",L,-75.144416,39.966458,-75.144501,39.96647,64160026,Address, ,918 N Leithgow St,Philadelphia,PA,19123,Seedy Acres,918 N Leithgow St,Philadelphia,PA,19123, http://philadelphialandtrust.org,suewhitbee@verizon.net, 
9,10,"1263 N Mascher St, Philadelphia, PA, 19122",R,-75.137447,39.970493,-75.137321,39.97047,62678850,Address, ,1263 Mascher St,Philadelphia,PA,19122,Cohocksink Community Garden,1263 Mascher St,Philadelphia,PA,19122,https://www.facebook.com/CohocksinkCommunityGarden,cohocksink.garden@gmail.com, 
